Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
05/01/2019,Monterrey,Pachuca,5,0,H,1.74,3.88,4.97
06/01/2019,Club Leon,U.A.N.L.- Tigres,2,2,D,3.26,3.27,2.39
06/01/2019,Guadalajara Chivas,Club Tijuana,2,0,H,2.17,3.29,3.75
06/01/2019,U.N.A.M.- Pumas,Veracruz,0,0,D,1.47,4.65,6.91
06/01/2019,Lobos BUAP,Santos Laguna,2,0,H,3.05,3.38,2.45
12/01/2019,Veracruz,Lobos BUAP,0,1,A,2.89,3.28,2.63
12/01/2019,Atlas,Club America,1,2,A,4.02,3.47,1.99
12/01/2019,Monterrey,Club Leon,2,2,D,1.67,4.01,5.36
13/01/2019,Cruz Azul,Guadalajara Chivas,0,1,A,2.03,3.12,4.52
13/01/2019,Pachuca,Queretaro,3,0,H,1.72,4.18,4.64
